,date,market,name,fullName,code,fullCode,bubinCode
1509,2022-06-24,KOSDAQ,셀바스AI,(주)셀바스에이아이,A108860,KR7108860008,1101111673816
1510,2022-06-24,KOSPI,컨버즈,컨버즈(주),A109070,KR7109070003,1313110088017
1511,2022-06-24,KOSDAQ,옵티시스,옵티시스(주),A109080,KR7109080002,1301110056407
1512,2022-06-24,KOSDAQ,에스와이,에스와이(주),A109610,KR7109610006,1301110064351
1513,2022-06-24,KOSDAQ,디에스케이,(주)디에스케이,A109740,KR7109740001,1341110045290
1514,2022-06-24,KOSDAQ,진매트릭스,(주)진매트릭스,A109820,KR7109820001,1101112124389
1515,2022-06-24,KOSDAQ,동일금속,동일금속(주),A109860,KR7109860007,1701110020397
1516,2022-06-24,KOSDAQ,에이프로젠 H&G,(주)에이프로젠헬스케어앤게임즈,A109960,KR7109960005,1101111511834
1517,2022-06-24,KOSDAQ,전진바이오팜,전진바이오팜(주),A110020,KR7110020005,1701110273433
1518,2022-06-24,KOSDAQ,크리스에프앤씨,(주)크리스에프앤씨,A110790,KR7110790003,1101111572612
1519,2022-06-24,KOSDAQ,디아이티,디아이티 주식회사,A110990,KR7110990009,1348110112334
1520,2022-06-24,KOSPI,호전실업,호전실업 주식회사,A111110,KR7111110003,1101110393457
1521,2022-06-24,KOSDAQ,남화산업,남화산업(주),A111710,KR7111710000,2001110021009
1522,2022-06-24,KOSPI,영원무역,(주)영원무역,A111770,KR7111770004,1101114129585
1523,2022-06-24,KOSDAQ,KH 전자,케이에이치전자(주),A111870,KR7111870002,1243110021149
1524,2022-06-24,KOSDAQ,위메이드,(주)위메이드,A112040,KR7112040001,1101111873755
1525,2022-06-24,KONEX,KC산업,(주)케이씨산업,A112190,KR7112190004,1312110004403
1526,2022-06-24,KOSPI,씨에스윈드,씨에스윈드(주),A112610,KR7112610001,1101113509887
1527,2022-06-24,KOSDAQ,디젠스,디젠스(주),A113810,KR7113810006,1648110035910
1528,2022-06-24,KOSPI,GKL,그랜드코리아레저(주),A114090,KR7114090004,1101113301457
1529,2022-06-24,KOSDAQ,크루셜텍,크루셜텍(주),A114120,KR7114120009,1648110019948
1530,2022-06-24,KOSDAQ,강원에너지,(주)강원에너지,A114190,KR7114190002,1101110191398
1531,2022-06-24,KOSDAQ,KPX생명과학,케이피엑스라이프사이언스(주),A114450,KR7114450000,2062110029823
1532,2022-06-24,KOSDAQ,폴라리스우노,(주)폴라리스우노,A114630,KR7114630007,2101110024308
1533,2022-06-24,KOSDAQ,아이원스,아이원스(주),A114810,KR7114810005,1348110109828
1534,2022-06-24,KOSDAQ,아이패밀리에스씨,(주)아이패밀리에스씨,A114840,KR7114840002,1101111892333
1535,2022-06-24,KONEX,대주이엔티,대주이엔티(주),A114920,KR7114920002,1201110051590
1536,2022-06-24,KOSDAQ,휴맥스,(주)휴맥스,A115160,KR7115160004,1345110144268
1537,2022-06-24,KOSDAQ,큐리언트,(주)큐리언트,A115180,KR7115180002,1101113926875
1538,2022-06-24,KOSDAQ,인포바인,(주)인포바인,A115310,KR7115310005,1101111877103
1539,2022-06-24,KOSPI,락앤락,(주)락앤락,A115390,KR7115390007,1648110035647
1540,2022-06-24,KOSDAQ,우리넷,(주)우리넷,A115440,KR7115440000,1301110057124
1541,2022-06-24,KOSDAQ,HLB테라퓨틱스,에이치엘비테라퓨틱스(주),A115450,KR7115450009,1601110099451
1542,2022-06-24,KOSDAQ,씨유메디칼,(주)씨유메디칼시스템,A115480,KR7115480006,1412110022619
1543,2022-06-24,KOSDAQ,케이씨에스,(주)케이씨에스,A115500,KR7115500001,1760110032132
1544,2022-06-24,KOSDAQ,씨엔플러스,(주)씨엔플러스,A115530,KR7115530008,1201110330796
1545,2022-06-24,KOSDAQ,스타플렉스,(주)스타플렉스,A115570,KR7115570004,1201110136459
1546,2022-06-24,KOSDAQ,이미지스,(주)이미지스테크놀로지,A115610,KR7115610008,1358110102649
1547,2022-06-24,KOSDAQ,연우,(주)연우,A115960,KR7115960007,1201110101890
1548,2022-06-24,KONEX,태양기계,태양기계(주),A116100,KR7116100009,1348110014126
1549,2022-06-24,KOSPI,대성에너지,대성에너지(주),A117580,KR7117580001,1701110387416
1550,2022-06-24,KOSDAQ,알파홀딩스,(주)알파홀딩스,A117670,KR7117670000,1345110066131
1551,2022-06-24,KOSDAQ,티로보틱스,(주)티로보틱스,A117730,KR7117730002,1311110126936
1552,2022-06-24,KOSPI,초록뱀헬스케어,(주)초록뱀헬스케어,A118000,KR7118000009,1701110391532
1553,2022-06-24,KOSDAQ,모트렉스,모트렉스 주식회사,A118990,KR7118990001,1101112341850
1554,2022-06-24,KOSDAQ,포메탈,(주)포메탈,A119500,KR7119500007,1301110010669
1555,2022-06-24,KOSDAQ,인터로조,(주)인터로조,A119610,KR7119610004,1313110033856
1556,2022-06-24,KOSPI,KC코트렐,케이씨코트렐(주),A119650,KR7119650000,1101114255463
1557,2022-06-24,KOSDAQ,아이텍,아이텍주식회사,A119830,KR7119830008,1351110074149
1558,2022-06-24,KOSDAQ,지엔씨에너지,(주)지엔씨에너지,A119850,KR7119850006,1101110952055
1559,2022-06-24,KOSDAQ,다나와,(주)다나와,A119860,KR7119860005,1101112551996
1560,2022-06-24,KOSPI,조선선재,조선선재(주),A120030,KR7120030002,1717110086312
1561,2022-06-24,KOSPI,코오롱인더,코오롱인더스트리(주),A120110,KR7120110002,1353110013606
1562,2022-06-24,KOSDAQ,대정화금,대정화금(주),A120240,KR7120240007,1101110510415
1563,2022-06-24,KONEX,유니포인트,(주)유니포인트,A121060,KR7121060008,1101111351660
1564,2022-06-24,KOSDAQ,골프존뉴딘홀딩스,(주)골프존뉴딘홀딩스,A121440,KR7121440002,1601110097976
1565,2022-06-24,KOSDAQ,나노신소재,(주)나노신소재,A121600,KR7121600001,1601110094162
1566,2022-06-24,KOSDAQ,비덴트,(주)비덴트,A121800,KR7121800007,1101112476376
1567,2022-06-24,KOSDAQ,코이즈,(주)코이즈,A121850,KR7121850002,2801110073830
1568,2022-06-24,KOSDAQ,에스디시스템,(주)에스디시스템,A121890,KR7121890008,1311110060530
1569,2022-06-24,KOSDAQ,제노레이,(주)제노레이,A122310,KR7122310006,1101112215261
1570,2022-06-24,KOSDAQ,삼기,(주)삼기,A122350,KR7122350002,1101114249458
1571,2022-06-24,KOSDAQ,KMH,(주)케이엠에이치,A122450,KR7122450000,1101112093237
1572,2022-06-24,KOSDAQ,예스티,(주)예스티,A122640,KR7122640006,1348110048183
1573,2022-06-24,KOSDAQ,서진오토모티브,(주)서진오토모티브,A122690,KR7122690001,1101114264828
1574,2022-06-24,KONEX,원포유,(주)원포유,A122830,KR7122830003,1101111532286
1575,2022-06-24,KOSDAQ,와이지엔터테인먼트,(주)와이지엔터테인먼트,A122870,KR7122870009,1101111516397
1576,2022-06-24,KOSPI,아이마켓코리아,(주)아이마켓코리아,A122900,KR7122900004,1101112125262
1577,2022-06-24,KOSDAQ,와이솔,(주)와이솔,A122990,KR7122990005,1358110154111
1578,2022-06-24,KOSDAQ,아이윈플러스,(주)아이윈플러스,A123010,KR7123010001,1101112870784
1579,2022-06-24,KOSDAQ,엠에스오토텍,(주)엠에스오토텍,A123040,KR7123040008,1712110005114
1580,2022-06-24,KOSDAQ,제닉,(주)제닉,A123330,KR7123330003,1345110052677
1581,2022-06-24,KOSDAQ,코리아에프티,코리아에프티(주),A123410,KR7123410003,1101114290039
1582,2022-06-24,KOSDAQ,위메이드플레이,(주)위메이드플레이,A123420,KR7123420002,1101114291540
1583,2022-06-24,KOSDAQ,이엠넷,(주)이엠넷,A123570,KR7123570004,1101111946601
1584,2022-06-24,KOSPI,한국화장품,한국화장품(주),A123690,KR7123690000,1101114342228
1585,2022-06-24,KOSPI,SJM,(주)에스제이엠,A123700,KR7123700007,1314110241465
1586,2022-06-24,KOSDAQ,알톤스포츠,(주)알톤스포츠,A123750,KR7123750002,1101114313807
1587,2022-06-24,KOSDAQ,한일진공,(주)한일진공,A123840,KR7123840001,1101114305614
1588,2022-06-24,KOSDAQ,아나패스,(주)아나패스,A123860,KR7123860009,1101112663436
1589,2022-06-24,KOSPI,한국자산신탁,한국자산신탁(주),A123890,KR7123890006,1101112196304
1590,2022-06-24,KOSDAQ,아이티센,(주)아이티센,A124500,KR7124500000,1101113224849
1591,2022-06-24,KOSDAQ,태웅로직스,주식회사 태웅로직스,A124560,KR7124560004,1101111234543
1592,2022-06-24,KOSDAQ,아모그린텍,(주)아모그린텍,A125210,KR7125210005,1244110064402
1593,2022-06-24,KOSDAQ,비나텍,비나텍주식회사,A126340,KR7126340009,1341110067418
1594,2022-06-24,KOSPI,현대퓨처넷,주식회사 현대퓨처넷,A126560,KR7126560002,1101110842785
1595,2022-06-24,KOSDAQ,코프라,(주)코프라,A126600,KR7126600006,1350110079381
1596,2022-06-24,KOSDAQ,화신정공,(주)화신정공,A126640,KR7126640002,1101114339415
1597,2022-06-24,KOSDAQ,하이비젼시스템,(주)하이비젼시스템,A126700,KR7126700004,1101114324127
1598,2022-06-24,KOSDAQ,뉴로스,(주)뉴로스,A126870,KR7126870005,1601110098073
1599,2022-06-24,KOSDAQ,제이엔케이히터,제이엔케이히터(주),A126880,KR7126880004,1101111591034
1600,2022-06-24,KOSDAQ,디엔에이링크,(주)디엔에이링크,A127120,KR7127120004,1101111907760
1601,2022-06-24,KOSDAQ,매직마이크로,(주)매직마이크로,A127160,KR7127160000,2801110076686
1602,2022-06-24,KOSDAQ,아시아경제,(주)아시아경제,A127710,KR7127710002,1101113251165
1603,2022-06-24,KOSDAQ,에코캡,에코캡 주식회사,A128540,KR7128540002,1801110602755
1604,2022-06-24,KOSDAQ,피제이메탈,(주)피제이메탈,A128660,KR7128660008,1101114382878
1605,2022-06-24,KOSPI,대성산업,대성산업(주),A128820,KR7128820008,1101114382612
1606,2022-06-24,KOSPI,한미약품,한미약품(주),A128940,KR7128940004,1348110197550
1607,2022-06-24,KOSPI,인터지스,인터지스(주),A129260,KR7129260006,1801110001973
1608,2022-06-24,KOSDAQ,앱코,(주)앱코,A129890,KR7129890000,1101112284729
1609,2022-06-24,KOSDAQ,GH신소재,지에이치신소재(주),A130500,KR7130500002,1955110052004
1610,2022-06-24,KOSDAQ,나이스디앤비,(주)나이스디앤비,A130580,KR7130580004,1101112629347
1611,2022-06-24,KOSPI,한전산업,한전산업개발(주),A130660,KR7130660004,1101110692875
1612,2022-06-24,KOSDAQ,티피씨글로벌,(주)티피씨,A130740,KR7130740004,1748110017627
1613,2022-06-24,KOSDAQ,옵투스제약,(주)옵투스제약,A131030,KR7131030009,1101114399906
1614,2022-06-24,KOSDAQ,시큐브,(주)시큐브,A131090,KR7131090003,1311110047447
1615,2022-06-24,KOSDAQ,스카이이앤엠,(주)스카이이앤엠,A131100,KR7131100000,1601110221319
1616,2022-06-24,KOSDAQ,딜리,(주)딜리,A131180,KR7131180002,1154110011579
1617,2022-06-24,KOSDAQ,대한과학,(주)대한과학,A131220,KR7131220006,1101110948997
1618,2022-06-24,KOSDAQ,티에스이,(주)티에스이,A131290,KR7131290009,1615110017818
1619,2022-06-24,KOSDAQ,알서포트,알서포트(주),A131370,KR7131370009,1101114398859
1620,2022-06-24,KOSDAQ,원익피앤이,(주)원익피앤이,A131390,KR7131390007,1342110063894
1621,2022-06-24,KOSDAQ,이브이첨단소재,(주)이브이첨단소재,A131400,KR7131400004,1701110262452
1622,2022-06-24,KOSDAQ,파인텍,(주)파인텍,A131760,KR7131760001,2850110151881
1623,2022-06-24,KOSDAQ,두산테스나,(주)두산테스나,A131970,KR7131970006,1311110082427
1624,2022-06-24,KOSDAQ,메가엠디,메가엠디(주),A133750,KR7133750000,1101112937857
1625,2022-06-24,KOSPI,화인베스틸,(주)화인베스틸,A133820,KR7133820001,1951110010951
1626,2022-06-24,KOSDAQ,이퓨쳐,(주)이퓨쳐,A134060,KR7134060003,1101111860083
