date,open,high,low,close,vol
1988-08-23,693.35,693.35,690.23,690.27,"8,517,000"
1988-08-22,703.7,703.7,693.6,693.6,"7,244,000"
1988-08-20,706.29,706.46,703.71,703.7,"8,023,000"
1988-08-19,710.67,710.88,706.3,706.3,"10,385,000"
1988-08-18,706.34,710.63,704.22,710.63,"13,820,000"
1988-08-17,710.74,710.76,706.44,706.44,"11,925,000"
1988-08-16,705.13,711.18,705.13,710.91,"15,334,000"
1988-08-13,708.93,708.93,703.18,704.9,"5,534,000"
1988-08-12,706.83,715.24,706.83,708.93,"16,575,000"
1988-08-11,685.61,706.46,685.32,706.46,"11,954,000"
1988-08-10,687.58,689.28,685.59,685.97,"9,863,000"
1988-08-09,690.27,690.27,682.47,687.56,"9,999,000"
1988-08-08,693.81,698.75,690.55,690.55,"10,977,000"
1988-08-06,687.49,693.46,687.49,693.35,"7,209,000"
1988-08-05,693.9,693.9,681.05,687.23,"8,904,000"
1988-08-04,704.4,704.4,693.98,693.98,"6,738,000"
1988-08-03,710.12,710.12,704.84,704.84,"9,648,000"
1988-08-02,714.86,717.14,710.22,710.22,"9,195,000"
1988-08-01,720.62,720.62,710.52,714.83,"9,446,000"
1988-07-30,717.17,725.37,717.04,721.08,"9,705,000"
1988-07-29,697.8,717.08,697.8,717.08,"11,400,000"
1988-07-28,702.92,702.92,694.91,697.51,"15,715,000"
1988-07-27,716.93,717.39,703.15,703.15,"15,133,000"
1988-07-26,719.24,728.03,716.81,716.81,"13,463,000"
1988-07-25,702.84,719.05,702.84,719.05,"12,770,000"
1988-07-23,688.63,702.65,688.63,702.17,"6,457,000"
1988-07-22,665.91,688.63,665.91,688.63,"15,015,000"
1988-07-21,671.7,671.7,663.3,665.79,"10,085,000"
1988-07-20,683.93,685.34,672.1,672.1,"9,109,000"
1988-07-19,667.69,685.7,667.69,683.68,"7,377,000"
1988-07-18,678.57,678.57,666.52,666.87,"5,056,000"
1988-07-16,685.22,685.22,678.95,678.95,"3,053,000"
1988-07-15,690.85,690.85,685.53,685.53,"4,718,000"
1988-07-14,687.28,690.88,683.96,690.86,"5,285,000"
1988-07-13,692.74,692.74,687.36,687.36,"4,723,000"
1988-07-12,695.76,695.76,689.15,692.79,"5,187,000"
