,date,stockCode,stockName,market,open,close,high,low,volume,amount,totShare,totAmount
73,20220310,005930,삼성전자,KOSPI,70800,71200,71200,70500,21159248,1500935516076,5969782550,425048517560000
74,20220308,005930,삼성전자,KOSPI,68800,69500,70000,68700,15828269,1100279437100,5969782550,414899887225000
75,20220307,005930,삼성전자,KOSPI,70000,70100,70600,69900,18617138,1305288850400,5969782550,418481756755000
76,20220304,005930,삼성전자,KOSPI,72700,71500,72700,71200,13409634,960572417800,5969782550,426839452325000
77,20220303,005930,삼성전자,KOSPI,72300,72900,73100,72200,13232638,962676478940,5969782550,435197147895000
78,20220302,005930,삼성전자,KOSPI,72300,71700,72400,71500,12481430,897368743880,5969782550,428033408835000
79,20220228,005930,삼성전자,KOSPI,71100,72100,72100,71000,17781783,1272250751300,5969782550,430421321855000
80,20220225,005930,삼성전자,KOSPI,72100,71900,72600,71900,13168484,950762004400,5969782550,429227365345000
81,20220224,005930,삼성전자,KOSPI,72300,71500,72300,71300,15759283,1130166428800,5969782550,426839452325000
82,20220223,005930,삼성전자,KOSPI,73800,73000,73800,72800,10397964,759964784500,5969782550,435794126150000
83,20220222,005930,삼성전자,KOSPI,73000,73400,73400,72800,11692469,854469006291,5969782550,438182039170000
84,20220221,005930,삼성전자,KOSPI,73200,74200,74300,72600,10489717,769773939300,5969782550,442957865210000
85,20220218,005930,삼성전자,KOSPI,74600,74300,74800,73700,10122226,751583038400,5969782550,443554843465000
86,20220217,005930,삼성전자,KOSPI,75000,75000,75600,74500,13605382,1021980123500,5969782550,447733691250000
87,20220216,005930,삼성전자,KOSPI,74600,74800,74900,74200,10767386,802448854700,5969782550,446539734740000
88,20220215,005930,삼성전자,KOSPI,74100,73700,74200,73100,9320365,686706909200,5969782550,439972973935000
89,20220214,005930,삼성전자,KOSPI,74400,73700,74500,73100,13993255,1030683563200,5969782550,439972973935000
90,20220211,005930,삼성전자,KOSPI,75000,74900,75500,74600,12205407,915455022610,5969782550,447136712995000
91,20220210,005930,삼성전자,KOSPI,75600,75400,75800,74700,17746033,1337516647000,5969782550,450121604270000
92,20220209,005930,삼성전자,KOSPI,74300,74700,74700,74000,9699122,722221184750,5969782550,445942756485000
93,20220208,005930,삼성전자,KOSPI,73800,73500,74200,73000,11736666,863666435400,5969782550,438779017425000
94,20220207,005930,삼성전자,KOSPI,73500,73000,73600,72400,14240838,1037300433232,5969782550,435794126150000
95,20220204,005930,삼성전자,KOSPI,74300,74000,74600,73400,12730034,941413120563,5969782550,441763908700000
96,20220203,005930,삼성전자,KOSPI,74900,73300,74900,73300,17744721,1314506070081,5969782550,437585060915000
97,20220128,005930,삼성전자,KOSPI,71300,73300,73700,71200,21367447,1552585967650,5969782550,437585060915000
98,20220127,005930,삼성전자,KOSPI,73800,71300,74000,71300,22274777,1603685111200,5969782550,425645495815000
99,20220126,005930,삼성전자,KOSPI,73900,73300,74400,73100,12976730,955547183400,5969782550,437585060915000
100,20220125,005930,삼성전자,KOSPI,74800,74000,75000,73200,17766704,1313117613328,5969782550,441763908700000
101,20220124,005930,삼성전자,KOSPI,75400,75100,75800,74700,13691134,1028859496700,5969782550,448330669505000
102,20220121,005930,삼성전자,KOSPI,75800,75600,75800,74700,15774888,1186292783000,5969782550,451315560780000
103,20220120,005930,삼성전자,KOSPI,76200,76500,76700,75900,9708168,741154141302,5969782550,456688365075000
104,20220119,005930,삼성전자,KOSPI,76500,76300,76900,76100,10598290,810150634900,5969782550,455494408565000
105,20220118,005930,삼성전자,KOSPI,77600,77000,77800,76600,9592788,740278857400,5969782550,459673256350000
106,20220117,005930,삼성전자,KOSPI,77600,77500,77800,76900,8785122,678903113900,5969782550,462658147625000
107,20220114,005930,삼성전자,KOSPI,77700,77300,78100,77100,10096725,781574668408,5969782550,461464191115000
108,20220113,005930,삼성전자,KOSPI,79300,77900,79300,77900,13889401,1088598373464,5969782550,465046060645000
109,20220112,005930,삼성전자,KOSPI,79500,78900,79600,78600,11000502,868910854000,5969782550,471015843195000
110,20220111,005930,삼성전자,KOSPI,78400,78900,79000,78000,13221123,1038834579600,5969782550,471015843195000
111,20220110,005930,삼성전자,KOSPI,78100,78000,78100,77100,9947422,772740467800,5969782550,465643038900000
112,20220107,005930,삼성전자,KOSPI,78100,78300,78400,77400,15163757,1184236552700,5969782550,467433973665000
113,20220106,005930,삼성전자,KOSPI,76700,76900,77600,76600,12931954,996378432570,5969782550,459076278095000
114,20220105,005930,삼성전자,KOSPI,78800,77400,79000,76400,25470640,1967841509800,5969782550,462061169370000
115,20220104,005930,삼성전자,KOSPI,78800,78700,79200,78300,12427416,977990613000,5969782550,469821886685000
116,20220103,005930,삼성전자,KOSPI,79400,78600,79800,78200,13502112,1066006837750,5969782550,469224908430000
