,year,metro,id,sex,old_h,grand_h,single_h,multi_h,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
1299,2021,G2,52000322,1,G2,G2,G2,G2,57,2,4,2,65544,3000,7429,6443,G,5,1,9
1300,2021,G2,52000342,1,G1,G2,G2,G2,87,2,4,2,76070,0,1856,1699,,,1,9
1301,2021,G2,52000352,1,G2,G2,G2,G2,40,4,4,2,16640,0,6960,5592,C,3,1,9
1302,2021,G2,52000362,1,G2,G2,G1,G2,50,2,4,3,18632,5640,7214,5834,C,8,1,9
1303,2021,G2,52000372,2,G1,G2,G2,G2,85,1,1,3,4500,0,441,428,,,1,0
1304,2021,G2,52100212,1,G2,G2,G2,G2,47,4,6,2,21250,9000,4167,3396,G,5,1,14
1305,2021,G2,52100222,1,G1,G2,G2,G2,69,2,4,2,42620,2000,2815,2728,O,9,1,9
1306,2021,G2,52100232,2,G1,G2,G2,G2,80,1,1,3,17010,0,1134,1071,,,5,0
1307,2021,G2,52100242,1,G2,G2,G2,G2,51,3,6,2,48400,0,2723,2231,G,5,1,14
1308,2021,G2,52100302,2,G1,G2,G2,G2,75,1,1,3,11050,0,910,904,,,1,0
1309,2021,G2,52100312,1,G2,G2,G2,G2,40,4,4,2,50920,9440,10640,9136,C,8,1,9
1310,2021,G2,52100322,1,G2,G2,G2,G2,55,1,3,4,124,1000,647,637,,,3,6
1311,2021,G2,52100332,2,G1,G2,G2,G2,82,1,1,3,2060,0,725,703,,,1,0
1312,2021,G2,52100342,2,G2,G2,G2,G2,55,2,3,3,3120,0,668,634,A,6,5,6
1313,2021,G2,52100352,2,G2,G2,G2,G2,63,1,2,3,11350,0,3966,3745,I,9,1,0
1314,2021,G2,52100362,2,G2,G2,G2,G2,83,2,3,3,5150,0,2042,2015,,,1,6
1315,2021,G2,52100372,1,G1,G2,G2,G2,78,2,2,2,40974,0,3459,3453,A,6,1,0
1316,2021,G2,52100382,2,G2,G2,G2,G2,36,2,8,1,17364,2265,5241,4687,M,2,3,18
1317,2021,G2,52700221,1,G2,G2,G2,G2,30,1,7,1,8270,2900,4051,3346,C,2,2,16
1318,2021,G2,52700251,1,G2,G2,G2,G2,58,3,7,2,25300,400,7499,7219,M,3,2,16
1319,2021,G2,52700261,1,G2,G2,G2,G2,34,4,4,2,55200,23600,8418,6653,J,5,1,9
1320,2021,G2,52700281,1,G1,G2,G2,G2,68,2,5,2,63500,0,5914,5562,P,9,1,12
1321,2021,G2,52700291,1,G1,G2,G2,G2,92,2,2,2,400,0,1196,1035,O,9,5,0
1322,2021,G2,52700301,2,G1,G2,G2,G2,81,1,2,3,320,0,881,850,,,5,0
1323,2021,G2,52700311,1,G1,G2,G2,G2,84,2,3,2,41900,0,2563,2508,A,6,1,6
1324,2021,G2,52700321,2,G1,G2,G2,G2,81,1,1,3,3120,0,946,942,,,1,0
1325,2021,G2,52700331,1,G1,G2,G2,G2,71,2,3,2,9550,60,2419,2401,,,1,6
1326,2021,G2,52700351,2,G1,G2,G2,G2,84,1,2,3,9900,0,1562,1528,A,6,1,0
