종목코드,종목명,결산월,회계연도,자산총계,부채총계,자본총계,자본금,이익잉여금,매출액,영업이익,당기순이익,배당금,EPS,BPS,SPS,CEPS
A005380,현대차,12,2008,1.03206E+11,77853886000,25351897000,1488993000,11841859000,79736351000,3072043000,1092552000,-403643000,3008,70240,279665,15908
A005380,현대차,12,2009,1.02325E+11,73363274000,28961660000,1488993000,14617652000,91463064000,5620241000,4043436000,-276896000,10416,79842,320385,26713
A005380,현대차,12,2010,1.18078E+11,81342217000,36735601000,1488993000,19742427000,1.1259E+11,9117742000,7982924000,-659139000,19060,100417,394389,41565
A005380,현대차,12,2011,1.0948E+11,69152273000,40327702000,1488993000,32263528000,77797895000,7992142000,8104863000,-457650000,26818,136686,272517,36569
A005380,현대차,12,2012,1.21538E+11,73620239000,47917575000,1488993000,39993230000,84469721000,8436947000,9056277000,-523367000,29991,162194,295888,40564
A005380,현대차,12,2013,1.33421E+11,76838690000,56582789000,1488993000,48274239000,87307636000,8315497000,8993497000,-632529000,29921,191260,305829,40440
A005380,현대차,12,2014,1.47225E+11,84604552000,62620565000,1488993000,54649863000,89256319000,7549986000,7649468000,-586928000,25735,213027,312655,35727
A005380,현대차,12,2015,1.65368E+11,98486545000,66881401000,1488993000,60035088000,91958736000,6357906000,6509165000,-1352510000,22479,230859,322121,32588
A005380,현대차,12,2016,1.78836E+11,1.06491E+11,72344578000,1488993000,64361408000,93649024000,5193500000,5719653000,-1084546000,18938,250098,328042,31801
A005380,현대차,12,2017,1.78199E+11,1.03442E+11,74757354000,1488993000,67332328000,96376079000,4574667000,4546400000,-1138661000,14127,257222,337595,28289
A005380,현대차,12,2018,1.80656E+11,1.0676E+11,73896010000,1488993000,66490082000,96812609000,2422165000,1645019000,-1127452000,5352,256422,343573,19187
A005380,현대차,12,2019,1.94512E+11,1.18146E+11,76365754000,1488993000,68249633000,1.05746E+11,3605505000,3185646000,-1121820000,10761,267549,381840,25340
A005380,현대차,12,2020,2.09344E+11,1.33003E+11,76340970000,1488993000,68911800000,1.03998E+11,2394671000,1924553000,-893769000,5143,266968,375525,22062
A005380,현대차,12,2021,2.33946E+11,1.51331E+11,82615789000,1488993000,73167855000,1.17611E+11,6678949000,5693077000,-1186800000,17846,289609,424681,37007
